o_sa3_11,d_sa3_11,employed_persons,transport_class,o_lat,o_long,d_lat,d_long
10201,11501,29,At Home,-33.3654178370037,151.218166624468,-33.7305925964078,150.995274285666
10201,11501,288,Motor Vehicle,-33.3654178370037,151.218166624468,-33.7305925964078,150.995274285666
10201,11501,38,Other,-33.3654178370037,151.218166624468,-33.7305925964078,150.995274285666
10201,11501,6,Public Transport,-33.3654178370037,151.218166624468,-33.7305925964078,150.995274285666
10201,11502,66,Motor Vehicle,-33.3654178370037,151.218166624468,-33.5475056657738,151.014755063298
10201,11502,3,Other,-33.3654178370037,151.218166624468,-33.5475056657738,151.014755063298
10201,11502,3,Public Transport,-33.3654178370037,151.218166624468,-33.5475056657738,151.014755063298
10201,11503,3,Motor Vehicle,-33.3654178370037,151.218166624468,-33.3050669628893,150.77831240542
10201,11503,3,Other,-33.3654178370037,151.218166624468,-33.3050669628893,150.77831240542
10201,11504,31,Motor Vehicle,-33.3654178370037,151.218166624468,-33.6212447969262,150.893031622539
10201,11504,6,Other,-33.3654178370037,151.218166624468,-33.6212447969262,150.893031622539
10201,11601,4,At Home,-33.3654178370037,151.218166624468,-33.7690007955044,150.908501108425
10201,11601,189,Motor Vehicle,-33.3654178370037,151.218166624468,-33.7690007955044,150.908501108425
10201,11601,38,Other,-33.3654178370037,151.218166624468,-33.7690007955044,150.908501108425
10201,11601,12,Public Transport,-33.3654178370037,151.218166624468,-33.7690007955044,150.908501108425
10201,11602,36,Motor Vehicle,-33.3654178370037,151.218166624468,-33.6987501462388,150.861082383034
10201,11602,3,Other,-33.3654178370037,151.218166624468,-33.6987501462388,150.861082383034
10201,11602,3,Public Transport,-33.3654178370037,151.218166624468,-33.6987501462388,150.861082383034
10201,11603,116,Motor Vehicle,-33.3654178370037,151.218166624468,-33.7747508859066,150.838856555676
10201,11603,12,Other,-33.3654178370037,151.218166624468,-33.7747508859066,150.838856555676
10201,11603,3,Public Transport,-33.3654178370037,151.218166624468,-33.7747508859066,150.838856555676
10201,11701,4,At Home,-33.3654178370037,151.218166624468,-33.9454116150596,151.200191274438
10201,11701,192,Motor Vehicle,-33.3654178370037,151.218166624468,-33.9454116150596,151.200191274438
10201,11701,66,Other,-33.3654178370037,151.218166624468,-33.9454116150596,151.200191274438
10201,11701,3,Physical Activity,-33.3654178370037,151.218166624468,-33.9454116150596,151.200191274438
10201,11701,75,Public Transport,-33.3654178370037,151.218166624468,-33.9454116150596,151.200191274438
10201,11702,39,Motor Vehicle,-33.3654178370037,151.218166624468,-33.9101069441191,151.161279704267
10201,11702,9,Other,-33.3654178370037,151.218166624468,-33.9101069441191,151.161279704267
10201,11702,46,Public Transport,-33.3654178370037,151.218166624468,-33.9101069441191,151.161279704267
10201,11703,94,At Home,-33.3654178370037,151.218166624468,-33.8891033723234,151.199670555568
10201,11703,721,Motor Vehicle,-33.3654178370037,151.218166624468,-33.8891033723234,151.199670555568
10201,11703,488,Other,-33.3654178370037,151.218166624468,-33.8891033723234,151.199670555568
10201,11703,44,Physical Activity,-33.3654178370037,151.218166624468,-33.8891033723234,151.199670555568
10201,11703,2937,Public Transport,-33.3654178370037,151.218166624468,-33.8891033723234,151.199670555568
10201,11801,10,At Home,-33.3654178370037,151.218166624468,-33.8823560154136,151.255525315745
10201,11801,93,Motor Vehicle,-33.3654178370037,151.218166624468,-33.8823560154136,151.255525315745
10201,11801,24,Other,-33.3654178370037,151.218166624468,-33.8823560154136,151.255525315745
10201,11801,4,Physical Activity,-33.3654178370037,151.218166624468,-33.8823560154136,151.255525315745
10201,11801,70,Public Transport,-33.3654178370037,151.218166624468,-33.8823560154136,151.255525315745
10201,11802,6,At Home,-33.3654178370037,151.218166624468,-33.9434866235128,151.242152984931
10201,11802,43,Motor Vehicle,-33.3654178370037,151.218166624468,-33.9434866235128,151.242152984931
10201,11802,21,Other,-33.3654178370037,151.218166624468,-33.9434866235128,151.242152984931
10201,11802,34,Public Transport,-33.3654178370037,151.218166624468,-33.9434866235128,151.242152984931
10201,11901,9,At Home,-33.3654178370037,151.218166624468,-33.9275615937553,151.014782918924
10201,11901,153,Motor Vehicle,-33.3654178370037,151.218166624468,-33.9275615937553,151.014782918924
10201,11901,20,Other,-33.3654178370037,151.218166624468,-33.9275615937553,151.014782918924
10201,11901,4,Physical Activity,-33.3654178370037,151.218166624468,-33.9275615937553,151.014782918924
10201,11901,13,Public Transport,-33.3654178370037,151.218166624468,-33.9275615937553,151.014782918924
10201,11902,37,Motor Vehicle,-33.3654178370037,151.218166624468,-33.9242469068868,151.089305371548
10201,11902,14,Public Transport,-33.3654178370037,151.218166624468,-33.9242469068868,151.089305371548
10201,11903,15,Motor Vehicle,-33.3654178370037,151.218166624468,-33.9692086007189,151.077817320245
10201,11903,3,Other,-33.3654178370037,151.218166624468,-33.9692086007189,151.077817320245
10201,11903,3,Public Transport,-33.3654178370037,151.218166624468,-33.9692086007189,151.077817320245
10201,11904,30,Motor Vehicle,-33.3654178370037,151.218166624468,-33.9596663180164,151.133092511526
10201,11904,9,Other,-33.3654178370037,151.218166624468,-33.9596663180164,151.133092511526
10201,11904,21,Public Transport,-33.3654178370037,151.218166624468,-33.9596663180164,151.133092511526
10201,12001,11,At Home,-33.3654178370037,151.218166624468,-33.8533650602052,151.114948338752
10201,12001,104,Motor Vehicle,-33.3654178370037,151.218166624468,-33.8533650602052,151.114948338752
10201,12001,15,Other,-33.3654178370037,151.218166624468,-33.8533650602052,151.114948338752
10201,12001,3,Physical Activity,-33.3654178370037,151.218166624468,-33.8533650602052,151.114948338752
10201,12001,72,Public Transport,-33.3654178370037,151.218166624468,-33.8533650602052,151.114948338752
10201,12002,87,Motor Vehicle,-33.3654178370037,151.218166624468,-33.8705153662709,151.167939813105
